contractSymbol,strike,lastPrice_new,bid,ask,volume_new,openInterest,impliedVolatility,inTheMoney,option_type,expiry_date,symbol,volume_old,lastPrice_old,volume_change,volume_change_pct,option_price_change,stock_price_change,signal_type,stock_price_change_pct,option_price_change_pct,volume_change_abs,amount_threshold,amount_tier
NVDA251003C00185000,185.0,3.2,3.1,3.15,297177.0,80875.0,0.2893137475585937,True,CALL,2025-10-03,NVDA,0.0,1.35,297177.0,100.0,1.3703703703703702,0.02631283058960429,买Call，看涨,2.6312830589604292,137.037037037037,297177.0,95096640.0,>50M
NVDA251003C00180000,180.0,6.69,6.65,6.7,87614.0,82145.0,0.2050860742187499,True,CALL,2025-10-03,NVDA,0.0,3.9,87614.0,100.0,0.7153846153846155,0.02631283058960429,买Call，看涨,2.6312830589604292,71.53846153846155,87614.0,58613766.0,>50M
ORCL251219C00280000,280.0,28.1,28.3,28.65,20677.0,32021.0,0.5630536859130859,False,CALL,2025-12-19,ORCL,0.0,30.2,20677.0,100.0,-0.06953642384105953,-0.01662191273414869,卖Call，看跌,-1.662191273414869,-6.953642384105953,20677.0,58102370.00000001,>50M
TSLA251003P00440000,440.0,13.3,13.25,13.3,29340.0,5698.0,0.5814250842285156,True,PUT,2025-10-03,TSLA,0.0,10.17,29340.0,100.0,0.3077679449360866,-0.01841114555048675,买Put，看跌,-1.841114555048675,30.776794493608662,29340.0,39022200.0,10M-50M
NVDA251003C00187500,187.5,1.95,1.88,1.89,196155.0,70656.0,0.2944406494140624,False,CALL,2025-10-03,NVDA,0.0,0.71,196155.0,100.0,1.7464788732394367,0.02631283058960429,买Call，看涨,2.6312830589604292,174.64788732394368,196155.0,38250225.0,10M-50M
NVDA251003C00182500,182.5,4.8,4.7,4.75,73049.0,72571.0,0.2678295874023437,True,CALL,2025-10-03,NVDA,0.0,2.41,73049.0,100.0,0.9917012448132778,0.02631283058960429,买Call，看涨,2.6312830589604292,99.17012448132778,73049.0,35063520.0,10M-50M
TSLA251003P00437500,437.5,11.85,11.85,11.95,22153.0,2982.0,0.583866466064453,True,PUT,2025-10-03,TSLA,0.0,9.21,22153.0,100.0,0.286644951140065,-0.01841114555048675,买Put，看跌,-1.841114555048675,28.6644951140065,22153.0,26251305.0,10M-50M
TSLA251003C00440000,440.0,8.75,8.75,8.85,29934.0,16463.0,0.6073037316894532,False,CALL,2025-10-03,TSLA,0.0,13.7,29934.0,100.0,-0.36131386861313863,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-36.131386861313864,29934.0,26192250.0,10M-50M
NVDA251003C00190000,190.0,1.09,1.08,1.09,199278.0,74526.0,0.30664755859375,False,CALL,2025-10-03,NVDA,0.0,0.37,199278.0,100.0,1.9459459459459463,0.02631283058960429,买Call，看涨,2.6312830589604292,194.59459459459464,199278.0,21721302.0,10M-50M
CRWV251003C00140000,140.0,4.2,4.1,4.2,47200.0,19452.0,0.9150399121093752,False,CALL,2025-10-03,CRWV,0.0,0.43,47200.0,100.0,8.767441860465116,0.12246978178698084,买Call，看涨,12.246978178698084,876.7441860465116,47200.0,19824000.0,10M-50M
TSLA251003P00435000,435.0,10.4,10.45,10.55,16964.0,3746.0,0.5797161169433593,False,PUT,2025-10-03,TSLA,0.0,8.06,16964.0,100.0,0.29032258064516125,-0.01841114555048675,买Put，看跌,-1.841114555048675,29.032258064516125,16964.0,17642560.0,10M-50M
NVDA251003P00185000,185.0,2.25,2.24,2.25,77690.0,6935.0,0.3857483300781249,False,PUT,2025-10-03,NVDA,0.0,4.4,77690.0,100.0,-0.4886363636363637,0.02631283058960429,卖Put，看涨,2.6312830589604292,-48.86363636363637,77690.0,17480250.0,10M-50M
NVDA251010C00185000,185.0,5.05,4.9,4.95,33785.0,20410.0,0.3177558459472656,True,CALL,2025-10-10,NVDA,0.0,2.89,33785.0,100.0,0.7474048442906573,0.02631283058960429,买Call，看涨,2.6312830589604292,74.74048442906573,33785.0,17061425.0,10M-50M
META251031P00730000,730.0,31.41,31.1,31.55,5299.0,462.0,0.3857178128051757,False,PUT,2025-10-31,META,0.0,28.42,5299.0,100.0,0.10520760028149184,-0.012873294336735725,买Put，看跌,-1.2873294336735726,10.520760028149184,5299.0,16644159.0,10M-50M
CRWV251017C00115000,115.0,25.88,25.5,27.1,5548.0,11346.0,1.056645341796875,True,CALL,2025-10-17,CRWV,0.0,13.37,5548.0,100.0,0.9356768885564698,0.12246978178698084,买Call，看涨,12.246978178698084,93.56768885564698,5548.0,14358224.0,10M-50M
NVDA251010C00190000,190.0,2.75,2.74,2.75,50754.0,18924.0,0.324103438720703,False,CALL,2025-10-10,NVDA,0.0,1.34,50754.0,100.0,1.052238805970149,0.02631283058960429,买Call，看涨,2.6312830589604292,105.22388059701491,50754.0,13957350.0,10M-50M
NVDA260320C00200000,200.0,16.48,16.4,16.5,8463.0,37056.0,0.4278011322021484,False,CALL,2026-03-20,NVDA,0.0,14.27,8463.0,100.0,0.1548703573931325,0.02631283058960429,买Call，看涨,2.6312830589604292,15.487035739313251,8463.0,13947024.0,10M-50M
GOOG260320P00230000,230.0,15.11,15.0,15.1,9204.0,674.0,0.3170234313964843,False,PUT,2026-03-20,GOOG,0.0,13.8,9204.0,100.0,0.09492753623188396,-0.010803729673655116,买Put，看跌,-1.0803729673655116,9.492753623188396,9204.0,13907244.0,10M-50M
NVDA251017C00180000,180.0,9.66,9.65,9.7,14388.0,73761.0,0.3571841625976562,True,CALL,2025-10-17,NVDA,0.0,6.9,14388.0,100.0,0.39999999999999997,0.02631283058960429,买Call，看涨,2.6312830589604292,40.0,14388.0,13898808.000000002,10M-50M
NVDA251003C00177500,177.5,8.98,8.75,8.85,15262.0,26378.0,1.0000000000000004e-05,True,CALL,2025-10-03,NVDA,0.0,5.7,15262.0,100.0,0.5754385964912281,0.02631283058960429,买Call，看涨,2.6312830589604292,57.54385964912281,15262.0,13705276.0,10M-50M
NVDA260116C00200000,200.0,11.1,11.0,11.1,12068.0,70384.0,0.4032042102050781,False,CALL,2026-01-16,NVDA,0.0,9.1,12068.0,100.0,0.21978021978021978,0.02631283058960429,买Call，看涨,2.6312830589604292,21.978021978021978,12068.0,13395479.999999998,10M-50M
CRWV251017C00120000,120.0,21.25,21.35,21.95,6235.0,14367.0,0.9389654541015624,True,CALL,2025-10-17,CRWV,0.0,10.65,6235.0,100.0,0.9953051643192488,0.12246978178698084,买Call，看涨,12.246978178698084,99.53051643192488,6235.0,13249375.0,10M-50M
NVDA251017C00190000,190.0,4.13,4.15,4.2,31988.0,52239.0,0.343634493408203,False,CALL,2025-10-17,NVDA,0.0,2.47,31988.0,100.0,0.672064777327935,0.02631283058960429,买Call，看涨,2.6312830589604292,67.2064777327935,31988.0,13211044.0,10M-50M
TSLA251003C00450000,450.0,5.3,5.4,5.45,24763.0,22556.0,0.6152382226562501,False,CALL,2025-10-03,TSLA,0.0,9.1,24763.0,100.0,-0.4175824175824176,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-41.75824175824176,24763.0,13124390.0,10M-50M
NVDA251017C00185000,185.0,6.5,6.4,6.45,19683.0,76925.0,0.3404606970214844,True,CALL,2025-10-17,NVDA,0.0,4.25,19683.0,100.0,0.5294117647058824,0.02631283058960429,买Call，看涨,2.6312830589604292,52.94117647058824,19683.0,12793950.0,10M-50M
TSLA251003P00430000,430.0,8.26,8.2,8.3,15036.0,14400.0,0.5863078479003907,False,PUT,2025-10-03,TSLA,0.0,6.31,15036.0,100.0,0.3090332805071316,-0.01841114555048675,买Put，看跌,-1.841114555048675,30.903328050713156,15036.0,12419736.0,10M-50M
NVDA251010C00180000,180.0,8.32,8.15,8.25,14519.0,15393.0,0.3247137841796874,True,CALL,2025-10-10,NVDA,0.0,5.5,14519.0,100.0,0.5127272727272728,0.02631283058960429,买Call，看涨,2.6312830589604292,51.27272727272728,14519.0,12079808.0,10M-50M
NVDA260116C00173000,173.0,24.87,24.6,24.8,4711.0,2945.0,0.4382380395507813,True,CALL,2026-01-16,NVDA,0.0,21.63,4711.0,100.0,0.14979195561719844,0.02631283058960429,买Call，看涨,2.6312830589604292,14.979195561719843,4711.0,11716257.0,10M-50M
NVDA251121C00185000,185.0,12.75,12.7,12.8,9123.0,33966.0,0.424261128540039,True,CALL,2025-11-21,NVDA,0.0,10.4,9123.0,100.0,0.2259615384615384,0.02631283058960429,买Call，看涨,2.6312830589604292,22.59615384615384,9123.0,11631825.0,10M-50M
NVDA251121C00200000,200.0,6.52,6.45,6.5,17751.0,44438.0,0.4097349066162109,False,CALL,2025-11-21,NVDA,0.0,4.88,17751.0,100.0,0.33606557377049173,0.02631283058960429,买Call，看涨,2.6312830589604292,33.60655737704917,17751.0,11573651.999999998,10M-50M
HOOD251003C00126000,126.0,13.63,13.1,13.4,7987.0,18064.0,0.68555001953125,True,CALL,2025-10-03,HOOD,0.0,11.6,7987.0,100.0,0.1750000000000001,0.01568903052449743,买Call，看涨,1.5689030524497432,17.50000000000001,7987.0,10886281.000000002,10M-50M
TSLA251003C00430000,430.0,13.7,13.65,13.75,7619.0,8454.0,0.6082192498779297,True,CALL,2025-10-03,TSLA,0.0,19.82,7619.0,100.0,-0.30877901109989914,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-30.877901109989914,7619.0,10438029.999999998,10M-50M
TSLA251003C00437500,437.5,9.7,9.8,9.9,10734.0,7876.0,0.6052895916748049,False,CALL,2025-10-03,TSLA,0.0,15.2,10734.0,100.0,-0.3618421052631579,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-36.18421052631579,10734.0,10411979.999999998,10M-50M
TSLA251121C00500000,500.0,19.9,19.9,20.05,5042.0,68450.0,0.6387365228271484,False,CALL,2025-11-21,TSLA,0.0,23.3,5042.0,100.0,-0.14592274678111597,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-14.592274678111597,5042.0,10033579.999999998,10M-50M
CRWV251017C00140000,140.0,9.24,9.0,9.45,10419.0,18219.0,0.848512257080078,False,CALL,2025-10-17,CRWV,0.0,3.54,10419.0,100.0,1.6101694915254237,0.12246978178698084,买Call，看涨,12.246978178698084,161.01694915254237,10419.0,9627156.0,5M-10M
META251003C00730000,730.0,10.84,10.65,10.9,8017.0,498.0,0.2939523730468749,True,CALL,2025-10-03,META,0.0,18.05,8017.0,100.0,-0.39944598337950143,-0.012873294336735725,卖Call，看跌,-1.2873294336735726,-39.94459833795014,8017.0,8690428.0,5M-10M
TSLA251003C00445000,445.0,6.93,6.85,6.95,12398.0,12351.0,0.6081582153320313,False,CALL,2025-10-03,TSLA,0.0,11.2,12398.0,100.0,-0.38125,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-38.125,12398.0,8591814.0,5M-10M
BA260220P00215000,215.0,17.46,17.15,17.5,4904.0,704.0,0.3154975677490234,True,PUT,2026-02-20,BA,0.0,15.75,4904.0,100.0,0.10857142857142862,-0.014879287360854533,买Put，看跌,-1.4879287360854534,10.857142857142863,4904.0,8562384.000000002,5M-10M
TSLA251003C00435000,435.0,11.11,11.0,11.1,7681.0,4708.0,0.6066323516845704,True,CALL,2025-10-03,TSLA,0.0,16.65,7681.0,100.0,-0.3327327327327327,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-33.27327327327327,7681.0,8533590.999999998,5M-10M
HOOD251003C00140000,140.0,3.04,2.98,3.05,25395.0,17771.0,0.6103554589843752,False,CALL,2025-10-03,HOOD,0.0,2.54,25395.0,100.0,0.19685039370078738,0.01568903052449743,买Call，看涨,1.5689030524497432,19.685039370078737,25395.0,7720080.0,5M-10M
NVDA251003P00182500,182.5,1.38,1.37,1.39,55405.0,13122.0,0.3911193701171874,False,PUT,2025-10-03,NVDA,0.0,2.9,55405.0,100.0,-0.5241379310344828,0.02631283058960429,卖Put，看涨,2.6312830589604292,-52.41379310344828,55405.0,7645889.999999999,5M-10M
CRWV251003C00130000,130.0,10.05,9.95,10.55,7600.0,11666.0,1.0253954980468751,True,CALL,2025-10-03,CRWV,0.0,1.8,7600.0,100.0,4.583333333333333,0.12246978178698084,买Call，看涨,12.246978178698084,458.3333333333333,7600.0,7638000.0,5M-10M
TSLA251017C00450000,450.0,14.95,14.85,14.95,5014.0,15823.0,0.5500533276367189,False,CALL,2025-10-17,TSLA,0.0,19.0,5014.0,100.0,-0.21315789473684213,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-21.315789473684212,5014.0,7495930.0,5M-10M
NVDA251017P00180000,180.0,3.4,3.3,3.4,20635.0,33848.0,0.3789124609375,False,PUT,2025-10-17,NVDA,0.0,4.54,20635.0,100.0,-0.2511013215859031,0.02631283058960429,卖Put，看涨,2.6312830589604292,-25.11013215859031,20635.0,7015900.0,5M-10M
META251003P00730000,730.0,7.2,7.0,7.1,9665.0,2284.0,0.2874216766357421,False,PUT,2025-10-03,META,0.0,4.0,9665.0,100.0,0.8,-0.012873294336735725,买Put，看跌,-1.2873294336735726,80.0,9665.0,6958800.0,5M-10M
NVDA251003P00180000,180.0,0.84,0.85,0.86,82809.0,29984.0,0.4067442138671875,False,PUT,2025-10-03,NVDA,0.0,1.84,82809.0,100.0,-0.5434782608695652,0.02631283058960429,卖Put，看涨,2.6312830589604292,-54.347826086956516,82809.0,6955956.0,5M-10M
TSLA251003C00442500,442.5,7.7,7.75,7.85,8842.0,8854.0,0.6073037316894532,False,CALL,2025-10-03,TSLA,0.0,12.55,8842.0,100.0,-0.3864541832669323,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-38.64541832669323,8842.0,6808340.000000001,5M-10M
CRWV251003C00135000,135.0,6.7,6.7,6.95,10067.0,7471.0,0.962646857910156,True,CALL,2025-10-03,CRWV,0.0,0.86,10067.0,100.0,6.790697674418604,0.12246978178698084,买Call，看涨,12.246978178698084,679.0697674418604,10067.0,6744890.000000001,5M-10M
TSLA251003P00442500,442.5,14.88,14.8,14.95,4464.0,2828.0,0.5866740551757812,True,PUT,2025-10-03,TSLA,0.0,11.36,4464.0,100.0,0.3098591549295776,-0.01841114555048675,买Put，看跌,-1.841114555048675,30.985915492957762,4464.0,6642432.000000001,5M-10M
NVDA251017C00170000,170.0,17.5,17.3,17.45,3739.0,47982.0,0.3569400244140625,True,CALL,2025-10-17,NVDA,0.0,14.1,3739.0,100.0,0.2411347517730497,0.02631283058960429,买Call，看涨,2.6312830589604292,24.11347517730497,3739.0,6543250.0,5M-10M
TSLA251003P00420000,420.0,4.91,4.85,4.95,13166.0,10955.0,0.6051064880371095,False,PUT,2025-10-03,TSLA,0.0,3.75,13166.0,100.0,0.30933333333333335,-0.01841114555048675,买Put，看跌,-1.841114555048675,30.933333333333334,13166.0,6464506.000000001,5M-10M
TSLA251010C00440000,440.0,14.35,14.25,14.35,4425.0,2949.0,0.5498091894531252,False,CALL,2025-10-10,TSLA,0.0,19.15,4425.0,100.0,-0.2506527415143603,-0.01841114555048675,卖Call，看跌,-1.841114555048675,-25.06527415143603,4425.0,6349875.0,5M-10M
NVDA251010C00187500,187.5,3.75,3.7,3.75,16899.0,5261.0,0.3222724023437499,False,CALL,2025-10-10,NVDA,0.0,1.99,16899.0,100.0,0.8844221105527639,0.02631283058960429,买Call，看涨,2.6312830589604292,88.44221105527639,16899.0,6337125.0,5M-10M
NVDA251219C00200000,200.0,8.82,8.85,8.95,7166.0,61948.0,0.404730073852539,False,CALL,2025-12-19,NVDA,0.0,7.03,7166.0,100.0,0.2546230440967283,0.02631283058960429,买Call，看涨,2.6312830589604292,25.462304409672832,7166.0,6320412.0,5M-10M
TSLA251003P00445000,445.0,16.4,16.35,16.5,3753.0,3862.0,0.5839885351562499,True,PUT,2025-10-03,TSLA,0.0,12.65,3753.0,100.0,0.2964426877470354,-0.01841114555048675,买Put，看跌,-1.841114555048675,29.64426877470354,3753.0,6154920.0,5M-10M
CRWV251121C00150000,150.0,15.15,14.95,15.3,4025.0,7342.0,0.956177196044922,False,CALL,2025-11-21,CRWV,0.0,9.35,4025.0,100.0,0.6203208556149734,0.12246978178698084,买Call，看涨,12.246978178698084,62.03208556149734,4025.0,6097875.0,5M-10M
TSLA251003P00450000,450.0,19.92,19.7,19.85,3017.0,4011.0,0.5782512878417969,True,PUT,2025-10-03,TSLA,0.0,15.7,3017.0,100.0,0.2687898089171976,-0.01841114555048675,买Put，看跌,-1.841114555048675,26.878980891719763,3017.0,6009864.000000001,5M-10M
AMZN251003C00220000,220.0,2.22,2.22,2.24,27030.0,9891.0,0.3054268676757812,False,CALL,2025-10-03,AMZN,0.0,4.15,27030.0,100.0,-0.4650602409638554,-0.015303568998991846,卖Call，看跌,-1.5303568998991846,-46.50602409638554,27030.0,6000660.000000001,5M-10M
NVDA251121C00190000,190.0,10.31,10.3,10.35,5805.0,21141.0,0.4183407775878905,False,CALL,2025-11-21,NVDA,0.0,8.2,5805.0,100.0,0.2573170731707319,0.02631283058960429,买Call，看涨,2.6312830589604292,25.731707317073187,5805.0,5984955.0,5M-10M
NVDA251031C00180000,180.0,11.85,11.75,11.85,4933.0,12074.0,0.3748841809082031,True,CALL,2025-10-31,NVDA,0.0,9.1,4933.0,100.0,0.30219780219780223,0.02631283058960429,买Call，看涨,2.6312830589604292,30.219780219780223,4933.0,5845605.0,5M-10M
CRWV251017C00150000,150.0,5.5,5.5,5.65,10380.0,11319.0,0.839723282470703,False,CALL,2025-10-17,CRWV,0.0,2.0,10380.0,100.0,1.75,0.12246978178698084,买Call，看涨,12.246978178698084,175.0,10380.0,5709000.0,5M-10M
NVDA251219C00190000,190.0,12.86,12.8,12.9,4140.0,26121.0,0.4110166320800781,False,CALL,2025-12-19,NVDA,0.0,10.63,4140.0,100.0,0.2097836312323611,0.02631283058960429,买Call，看涨,2.6312830589604292,20.97836312323611,4140.0,5324039.999999999,5M-10M
NVDA251121C00180000,180.0,15.45,15.5,15.6,3439.0,74545.0,0.4310969976806641,True,CALL,2025-11-21,NVDA,0.0,12.95,3439.0,100.0,0.19305019305019305,0.02631283058960429,买Call，看涨,2.6312830589604292,19.305019305019304,3439.0,5313255.0,5M-10M
NVDA251010C00182500,182.5,6.5,6.45,6.5,7932.0,5824.0,0.3220282641601562,True,CALL,2025-10-10,NVDA,0.0,4.1,7932.0,100.0,0.5853658536585368,0.02631283058960429,买Call，看涨,2.6312830589604292,58.536585365853675,7932.0,5155800.0,5M-10M
NVDA251017C00200000,200.0,1.43,1.43,1.44,35206.0,77735.0,0.34180345703125,False,CALL,2025-10-17,NVDA,0.0,0.75,35206.0,100.0,0.9066666666666666,0.02631283058960429,买Call，看涨,2.6312830589604292,90.66666666666666,35206.0,5034457.999999999,5M-10M
NVDA251031C00200000,200.0,3.1,3.05,3.15,16049.0,14392.0,0.3573062316894531,False,CALL,2025-10-31,NVDA,0.0,1.91,16049.0,100.0,0.6230366492146598,0.02631283058960429,买Call，看涨,2.6312830589604292,62.30366492146599,16049.0,4975190.0,<=5M
JD260116C00040000,40.0,2.34,2.34,2.36,21244.0,399218.0,0.5542036767578126,False,CALL,2026-01-16,JD,0.0,2.62,21244.0,100.0,-0.10687022900763368,-0.024831603161874605,卖Call，看跌,-2.4831603161874605,-10.687022900763369,21244.0,4971096.0,<=5M
SOFI251121C00027000,27.0,2.52,2.49,2.53,19527.0,18013.0,0.7587914746093751,False,CALL,2025-11-21,SOFI,0.0,3.3,19527.0,100.0,-0.2363636363636363,-0.06116150680961559,卖Call，看跌,-6.1161506809615585,-23.63636363636363,19527.0,4920804.0,<=5M
NVDA251003P00187500,187.5,3.5,3.55,3.6,13586.0,965.0,0.4023497265625,True,PUT,2025-10-03,NVDA,0.0,6.28,13586.0,100.0,-0.4426751592356688,0.02631283058960429,卖Put，看涨,2.6312830589604292,-44.26751592356688,13586.0,4755100.0,<=5M
NVDA251031C00185000,185.0,8.92,8.8,8.9,5301.0,12906.0,0.3675600354003906,True,CALL,2025-10-31,NVDA,0.0,6.52,5301.0,100.0,0.36809815950920255,0.02631283058960429,买Call，看涨,2.6312830589604292,36.80981595092025,5301.0,4728492.0,<=5M
CRWV251003C00125000,125.0,14.58,14.0,15.1,3145.0,4245.0,1.1782267651367184,True,CALL,2025-10-03,CRWV,0.0,3.3,3145.0,100.0,3.418181818181819,0.12246978178698084,买Call，看涨,12.246978178698084,341.81818181818187,3145.0,4585410.0,<=5M
